sequence_index,institutional_label,folio_id,child_oid,canvas_id,width_px,height_px,image_service_id,image_info_url,image_url,catalog_child_url,folio_status,notes
1,[Front cover],,1006074,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006074,2931,3865,https://collections.library.yale.edu/iiif/2/1006074,https://collections.library.yale.edu/iiif/2/1006074/info.json,https://collections.library.yale.edu/iiif/2/1006074/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006074,unresolved,Institutional label retained verbatim; folio mapping not inferred.
48,24v,,1006121,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006121,2864,3771,https://collections.library.yale.edu/iiif/2/1006121,https://collections.library.yale.edu/iiif/2/1006121/info.json,https://collections.library.yale.edu/iiif/2/1006121/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006121,unresolved,Institutional label retained verbatim; folio mapping not inferred.
49,25r,,1006122,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006122,2709,3743,https://collections.library.yale.edu/iiif/2/1006122,https://collections.library.yale.edu/iiif/2/1006122/info.json,https://collections.library.yale.edu/iiif/2/1006122/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006122,unresolved,Institutional label retained verbatim; folio mapping not inferred.
50,25v,,1006123,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006123,2863,3769,https://collections.library.yale.edu/iiif/2/1006123,https://collections.library.yale.edu/iiif/2/1006123/info.json,https://collections.library.yale.edu/iiif/2/1006123/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006123,unresolved,Institutional label retained verbatim; folio mapping not inferred.
51,26r,,1006124,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006124,2727,3743,https://collections.library.yale.edu/iiif/2/1006124,https://collections.library.yale.edu/iiif/2/1006124/info.json,https://collections.library.yale.edu/iiif/2/1006124/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006124,unresolved,Institutional label retained verbatim; folio mapping not inferred.
52,26v,,1006125,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006125,2849,3769,https://collections.library.yale.edu/iiif/2/1006125,https://collections.library.yale.edu/iiif/2/1006125/info.json,https://collections.library.yale.edu/iiif/2/1006125/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006125,unresolved,Institutional label retained verbatim; folio mapping not inferred.
53,27r,,1006126,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006126,2708,3743,https://collections.library.yale.edu/iiif/2/1006126,https://collections.library.yale.edu/iiif/2/1006126/info.json,https://collections.library.yale.edu/iiif/2/1006126/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006126,unresolved,Institutional label retained verbatim; folio mapping not inferred.
54,27v,,1006127,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006127,2849,3769,https://collections.library.yale.edu/iiif/2/1006127,https://collections.library.yale.edu/iiif/2/1006127/info.json,https://collections.library.yale.edu/iiif/2/1006127/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006127,unresolved,Institutional label retained verbatim; folio mapping not inferred.
55,28r,,1006128,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006128,2727,3743,https://collections.library.yale.edu/iiif/2/1006128,https://collections.library.yale.edu/iiif/2/1006128/info.json,https://collections.library.yale.edu/iiif/2/1006128/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006128,unresolved,Institutional label retained verbatim; folio mapping not inferred.
56,28v,,1006129,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006129,2885,3780,https://collections.library.yale.edu/iiif/2/1006129,https://collections.library.yale.edu/iiif/2/1006129/info.json,https://collections.library.yale.edu/iiif/2/1006129/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006129,unresolved,Institutional label retained verbatim; folio mapping not inferred.
57,29r,,1006130,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006130,2718,3743,https://collections.library.yale.edu/iiif/2/1006130,https://collections.library.yale.edu/iiif/2/1006130/info.json,https://collections.library.yale.edu/iiif/2/1006130/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006130,unresolved,Institutional label retained verbatim; folio mapping not inferred.
58,29v,,1006131,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006131,2876,3777,https://collections.library.yale.edu/iiif/2/1006131,https://collections.library.yale.edu/iiif/2/1006131/info.json,https://collections.library.yale.edu/iiif/2/1006131/full/full/0/default.jpg,https://collections.library.yale.edu/catalog/2002046?child_oid=1006131,unresolved,Institutional label retained verbatim; folio mapping not inferred.
